,name,country_reg,country,owner,users,purpose,description,CLO,TOO,longitude,perigee_km,apogee_km,eccentricity,inclination,period_minutes,launch_mass,dry_mass,power_watts,launch_date,expected_lifetime_years,contractor,contractor_country,launch_site,launch_vehicle,COSPAR,NORAD,comments,launch_year,launch_month,launch_day,nickname,radians,apogeeR,perigeeR,majorA,semimajorA,fDistance,minorA,semiminorA,meanmotion,period_seconds,simple_seconds,T_long,sec_per_longdegree,time_till_longitude,meanAnom,Efromcenter,eccentricAnom,trueAnom,flightpath,distanceAt,cartX,cartY,trueAnomadj,dif
0,Aalto-1 ,NR (10/17),Finland,University of Aalto,Civil,Technology Development,,LEO,,132.0,497,517,0.00145,97.45,94.7,5.0,,4.5,2017-06-23,2.0,University of Aalto,Finland,Satish Dhawan Space Centre,PSLV,2017-036L,42775,Technology development and education.,2017,6,23,,2.303834612632515,6888,6868,13756,6878.0,20,13755.98546088211,6877.992730441055,0.0011068164567989481,5676.808714383726,5682.0,2081.496528607366,15.76891309551035,2081.496528607366,2.3038346126325155,10.0,2.3806642636119353,2.3816636507475963,0.0009999121318951516,514.2224802315886,350.20228103100305,-6869.071452649739,4.763327301495193,0.0
1,AAUSat-4,NR (12/16),Denmark,University of Aalborg,Civil,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,233.0,442,687,0.0177,98.2,95.9,1.0,,,2016-04-25,,University of Aalborg,Denmark,Guiana Space Center,Soyuz 2.1a,2016-025E,41460,Carries AIS system.,2016,4,25,,4.066617157146788,7058,6813,13871,6935.5,245,13868.836144392219,6934.418072196109,0.0010930806364469429,5748.144370760305,5754.0,3720.326773297642,15.967067696556402,3720.3267732976415,4.066617157146787,122.5,4.05263029839941,2.244465895613156,0.013986760039124769,639.741808341264,-1536.9218797572241,-6762.008729312634,4.488931791226312,0.0
2,ABS-2 ,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,75.0,35778,35793,0.000178,0.08,1436.03,6330.0,,16000.0,2014-02-06,15.0,Space Systems/Loral,USA,Guiana Space Center,Ariane  5 ECA,2014-006A,39508,32 C-band 51 Ku-band and 6 Ka-band transponders. $214 million lawsuit for bad beam.,2014,2,6,(Koreasat-8 ST-3),1.3089969389957472,42164,42149,84313,42156.5,15,84312.99866568619,42156.499332843094,7.294105571808137e-05,86140.58633130047,86161.8,17945.9554856876,239.27940647583463,17945.9554856876,1.3089969389957472,7.5,1.3091688817141915,1.3093408283892647,0.00017194271693224622,35783.55910519531,-36523.08847170605,21053.134842795364,2.6186816567785294,0.0
3,ABS-2A,NR (12/16),Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,285.0,35700,35700,0.0,0.0,1436.1,1800.0,,,2016-06-15,15.0,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2016-038A,41588,,2016,6,15,,4.974188368183839,42071,42071,84142,42071.0,0,84142.0,42071.0,7.31635234897504e-05,85878.65930294908,86166.0,67987.27194816801,238.55183139708078,67987.27194816803,4.97418836818384,0.0,4.97418836818384,1.3089969389957468,0.0,35700.0,-36434.5547626151,21035.500000000033,2.6179938779914935,0.0
4,ABS-3 ,Philippines,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,146.06,35769,35802,0.000391,0.05,1436.07,3775.0,1800.0,9000.0,1997-08-19,15.0,Space Systems/Loral,USA,Xichang Satellite Launch Center,Long March CZ3B,1997-042A,24901,Most powerful telecommunications satellite in service in the Asia-Pacific region; 30 C-band 24 Ku-band transponders; 190 high fidelity channels and 50000 simultaneous telephone links.,1997,8,19,(Agila 2 Mabuhay 1),2.5492279054629177,42173,42140,84313,42156.5,33,84312.99354192092,42156.49677096046,7.294105571808137e-05,86140.58633130047,86164.2,34949.150109860406,239.27940647583463,34949.150109860406,2.5492279054629177,16.5,2.549446139524095,2.5496643381924393,0.0002182340691967072,35799.17683796705,15908.01396109281,-39039.79188701494,5.099328676384879,0.0
5,ABS-3A ,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,357.0,35788,35803,0.000178,0.1,1436.0,2000.0,,,2015-03-02,15.0,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2015-010A,40424,Coverage of Americas Europe and Africa.,2015,3,2,,6.230825429619756,42174,42159,84333,42166.5,15,84332.99866600262,42166.49933300131,7.291510974285405e-05,86171.23843519088,86160.0,85453.14478156429,239.36455120886356,85453.14478156429,6.230825429619756,7.5,6.2308161121633105,0.05237851330098553,9.317456592498034e-06,35788.00465287501,41935.3431941539,4409.162372094678,0.10475702660197106,0.0
6,ABS-4 ,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,75.0,35780,35793,0.000154,0.01,1436.1,4143.0,1700.0,7400.0,2004-03-13,12.0,Space Systems/Loral,USA,Cape Canaveral,Atlas 3,2004-007A,28184,Purchased by ABS in 2013.,2004,3,13,(ABS-2i MBSat Mobile Broadcasting Satellite Han Byul),1.3089969389957472,42164,42151,84315,42157.5,13,84314.99899780584,42157.49949890292,7.293846042816265e-05,86143.65137810822,86166.0,17946.594037105882,239.28792049474504,17946.59403710588,1.308996938995747,6.5,1.309145697502232,1.3092944589707098,0.00014875850550562456,35784.82061364899,-36522.00219414727,21057.021428491895,2.6185889179414197,0.0
7,ABS-6 ,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,159.0,35777,35794,0.000202,0.01,1436.08,2894.0,1730.0,,1999-09-26,15.0,Lockheed Martin,USA,Baikonur Cosmodrome,Proton,1999-053A,25924,28 C-band 16 Ku-band; business services public voice and data services broadcasting direct-to-home; Eastern Europe CIS South and Southeast Asia Africa Middle East Australia.,1999,9,26,(ABS-1 LMI-1 Lockheed Martin-Intersputnik-1),2.775073510670984,42165,42148,84313,42156.5,17,84312.99828614802,42156.49914307401,7.294105571808137e-05,86140.58633130047,86164.79999999999,38045.42562965771,239.27940647583463,38045.42562965771,2.775073510670984,8.5,2.7751458873477635,2.775218257201,7.237667794015567e-05,35793.450230469156,31336.549601778544,-28199.133301879407,5.550436514402,0.0
8,ABS-7 ,South Korea,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,116.18,35780,35791,0.00013000000000000002,0.01,1436.06,3500.0,1800.0,4800.0,1999-09-04,15.0,Lockheed Martin Astro Space,USA,Guiana Space Center,Ariane,1999-046A,25894,30 Ku-band 6 Ka-band; Korean peninsula the Japanese archipelago and parts of China and Russia.,1999,9,4,(Koreasat 3 Mugungwha 3),2.027723524967012,42162,42151,84313,42156.5,11,84312.99928243569,42156.499641217844,7.294105571808137e-05,86140.58633130047,86163.59999999999,27799.481444362467,239.27940647583463,27799.48144436247,2.027723524967012,5.5,2.0278401818920004,2.0279568354704263,0.00011665692465102249,35787.91846150646,-25729.316406470563,-33394.20234896889,4.0559136709408525,0.0
9,Advanced Orion 2 ,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,334.0,35560,36013,0.005370000000000001,7.72,1436.14,4500.0,,,1998-05-09,,TRW Space and Electronics,USA,Cape Canaveral,Titan IVA,1998-029A,25336,ELINT.,1998,5,9,(Mentor NROL 6 USA 139),5.82939970166106,42384,41931,84315,42157.5,453,84313.78307252024,42156.89153626012,7.293846042816265e-05,86143.65137810822,86168.40000000001,79922.16544524486,239.28792049474504,79922.16544524484,5.8293997016610595,226.5,5.827034231604736,0.45852227071804263,0.0023654931546474305,35583.261133903135,25638.87934799524,33464.46391189272,0.9170445414360853,0.0
