,name,country_reg,country,owner,users,purpose,description,CLO,TOO,longitude,perigee_km,apogee_km,eccentricity,inclination,period_minutes,launch_mass,dry_mass,power_watts,launch_date,expected_lifetime_years,contractor,contractor_country,launch_site,launch_vehicle,COSPAR,NORAD,comments,launch_year,launch_month,launch_day,nickname,radians,apogeeR,perigeeR,majorA,semimajorA,fDistance,minorA,semiminorA,meanmotion,period_seconds,simple_seconds,T_long,sec_per_longdegree,time_till_longitude,meanAnom,Efromcenter,eccentricAnom,trueAnom,flightpath,distanceAt,cartX,cartY,trueAnomadj,dif
17,Aeneas,USA,USA,Department of Homeland Security,Government,Technology Development,,LEO,Equatorial,110.0,480,790,0.0221,0.02,97.4,3.0,,,2012-09-13,,University of Southern California,USA,Vandenberg AFB,Atlas 5,2012-048C,38760,Demonsration program to track cargo containers worldwide.,2012,9,13,,1.9198621771937625,7161,6851,14012,7006.0,310,14008.570376737234,7004.285188368617,0.0010766230301603602,5836.0123563804145,5844.0,1783.2259977829044,16.21114543439004,1783.2259977829044,1.9198621771937623,155.0,3.096533399104947,3.0975181217226555,0.000995715446333112,789.6754454594302,6978.798408656565,-616.6219051536724,6.195036243445311,0.0
18,Aerocube 4.5A,USA,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,24.0,495,791,0.0211,64.6,97.5,5.0,,,2012-09-13,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2012-048K,38767,,2012,9,13,,0.4188790204786391,7162,6866,14028,7014.0,296,14024.87675525172,7012.43837762586,0.0010747815999136835,5846.0112339885545,5850.0,389.7340822659037,16.238920094412652,389.7340822659037,0.4188790204786391,148.0,3.0943965376825524,3.095381733414212,0.0009956897275815496,790.8306026883329,6984.06523657386,-647.1801942921321,6.190763466828424,0.0
19,Aerocube 4.5B,USA,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,230.0,499,792,0.0209,64.6,97.6,5.0,,,2012-09-13,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2012-048L,38768,,2012,9,13,,4.014257279586958,7163,6870,14033,7016.5,293,14029.940840930158,7014.970420465079,0.0010742072292210748,5849.137053132315,5856.0,3736.9486728345346,16.24760292536754,3736.9486728345346,4.014257279586959,146.5,3.998459186433173,2.3004162506832557,0.01579824071260284,741.5243582049452,-781.1135397807456,-6971.3655496082,4.6008325013665115,0.0
20,Aerocube 5A,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Polar,49.0,443,886,0.0315,120.3,98.0,5.0,,,2013-12-06,2.0,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2013-072D,39465,Cubesat to demonstrate new technologies for pointing and tracking between two identical CubeSats and to demonstrate a deorbit device.,2013,12,6,,0.8552113334772214,7257,6814,14071,7035.5,443,14064.024744005537,7032.012372002769,0.0010698586787067144,5872.911471611314,5880.0,799.3685058582065,16.313642976698095,799.3685058582066,0.8552113334772214,221.5,3.1107895561024552,3.1117448977160533,0.0009706255031876849,886.0131192006429,7022.968029677273,-419.5303037066229,6.223489795432107,0.0
21,Aerocube 5B,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Polar,255.0,443,886,0.0315,120.3,98.0,5.0,,,2013-12-06,2.0,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2013-072E,39466,Cubesat to demonstrate new technologies for pointing and tracking between two identical CubeSats and to demonstrate a deorbit device.,2013,12,6,,4.4505895925855405,7257,6814,14071,7035.5,443,14064.024744005537,7032.012372002769,0.0010698586787067144,5872.911471611314,5880.0,4159.978959058014,16.313642976698095,4159.978959058014,4.4505895925855405,221.5,4.420408985508421,1.8928121235027315,0.03017260619675214,728.2925875018509,-5626.159873413478,-4222.1911289320415,3.785624247005463,0.0
22,Aerocube 5C,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,243.0,500,802,0.0215,64.78,97.74,2.0,,,2015-10-08,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2015-058B,40965,Demonstrate tracking technologies optical communications and laser communication.,2015,10,8,,4.241150082346221,7173,6871,14044,7022.0,302,14040.752543934388,7020.376271967194,0.0010729454129184246,5856.015815463758,5864.4,3952.810675438037,16.26671059851044,3952.810675438037,4.241150082346222,151.0,4.222178618658202,2.0798808081918225,0.018970137112841696,722.0798225997032,-3686.0255586164053,-5975.381269754273,4.159761616383645,0.0
25,Aerocube 7A,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,322.0,500,802,0.0215,64.6,97.4,2.0,,,2015-10-08,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2015-058C,40966,,2015,10,8,,5.619960191421741,7173,6871,14044,7022.0,302,14040.752543934388,7020.376271967194,0.0010729454129184246,5856.015815463758,5844.0,5237.880812720362,16.26671059851044,5237.880812720361,5.619960191421741,151.0,5.6064953451638315,0.6902687711775316,0.013465938331188535,533.2939331499128,1327.9515988132111,6893.695888279526,1.3805375423550632,0.0
26,Aerocube 8A,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,16.0,356,700,0.0249,55.0,95.19,5.0,,,2015-05-20,,Aerospace Corporation,USA,Cape Canaveral,Atlas 5,2015-025J,40659,,2015,5,20,,0.2792526803190927,7071,6727,13798,6899.0,344,13793.71117574962,6896.85558787481,0.0011017667142905188,5702.8273097047,5711.4,253.45899154243114,15.841186971401946,253.45899154243114,0.2792526803190927,172.0,3.101743506889782,3.1027234492973252,0.0009922885038720793,699.648724587265,6878.164270195289,-535.6107245525293,6.2054468985946505,0.0
27,Aerocube 8B,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,5.0,356,700,0.0249,55.0,95.19,5.0,,,2015-05-20,,Aerospace Corporation,USA,Cape Canaveral,Atlas 5,2015-025K,40660,,2015,5,20,,0.08726646259971647,7071,6727,13798,6899.0,344,13793.71117574962,6896.85558787481,0.0011017667142905188,5702.8273097047,5711.4,79.20593485700972,15.841186971401946,79.20593485700974,0.08726646259971649,172.0,3.1023549703987343,3.1033198836156144,0.000977070261345485,699.6528771577478,6878.79848834146,-527.4081492693689,6.206639767231229,0.0
36,AIST-1,Russia,Russia,Samara State Aerospace University SGAU,Civil,Technology Development,,LEO,Polar,162.0,599,626,0.00193,82.4,96.9,,,,2013-12-28,,TsSKB Progress,Russia,Plesetsk Cosmodrome,Soyuz 21v,2013-078C,39492,Designed to measure the Earths geomagnetic field and test out a new satellite design.,2013,12,28,,2.827433388230814,6997,6970,13967,6983.5,27,13966.973902746435,6983.486951373217,0.0010818303444228323,5807.921121432151,5814.0,2613.564504644468,16.13311422620042,2613.564504644468,2.827433388230814,13.5,2.8280286983150353,2.828623462867675,0.0005953110170182195,625.3209643228101,5659.524200428774,-4091.331753984936,5.65724692573535,0.0
