,name,country_reg,country,owner,users,purpose,description,CLO,TOO,longitude,perigee_km,apogee_km,eccentricity,inclination,period_minutes,launch_mass,dry_mass,power_watts,launch_date,expected_lifetime_years,contractor,contractor_country,launch_site,launch_vehicle,COSPAR,NORAD,comments,launch_year,launch_month,launch_day,nickname,radians,apogeeR,perigeeR,majorA,semimajorA,fDistance,minorA,semiminorA,meanmotion,period_seconds,simple_seconds,T_long,sec_per_longdegree,time_till_longitude,meanAnom,Efromcenter,eccentricAnom,trueAnom,flightpath,distanceAt,cartX,cartY,trueAnomadj,dif
1,AAUSat-4,NR (12/16),Denmark,University of Aalborg,Civil,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,233.0,442,687,0.0177,98.2,95.9,1.0,,,2016-04-25,,University of Aalborg,Denmark,Guiana Space Center,Soyuz 2.1a,2016-025E,41460,Carries AIS system.,2016,4,25,,4.066617157146788,7058,6813,13871,6935.5,245,13868.836144392219,6934.418072196109,0.0010930806364469429,5748.144370760305,5754.0,3720.326773297642,15.967067696556402,3720.3267732976415,4.066617157146787,122.5,4.05263029839941,2.244465895613156,0.013986760039124769,639.741808341264,-1536.9218797572241,-6762.008729312634,4.488931791226312,0.0
23,Aerocube 6A,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,272.0,614,700,0.0061200000000000004,97.98,97.88,5.0,,,2014-06-19,3.0,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr,2014-033AM,40045,Technology development for cubesat constellation.,2014,6,19,,4.747295565424577,7071,6985,14056,7028.0,86,14055.73690704262,7027.86845352131,0.0010715717009925454,5863.5229927775945,5872.799999999999,4430.21737232085,16.287563868826652,4430.217372320849,4.747295565424577,43.0,4.74117798694071,1.5481253613612047,0.006117502277635325,655.7619167135099,-7020.776837728427,318.5479494180673,3.0962507227224094,0.0
24,Aerocube 6B,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,58.0,614,700,0.0061200000000000004,97.98,97.88,5.0,,,2014-06-19,3.0,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr,2014-033AN,40046,Technology development for cubesat constellation.,2014,6,19,,1.0122909661567112,7071,6985,14056,7028.0,86,14055.73690704262,7027.86845352131,0.0010715717009925454,5863.5229927775945,5872.799999999999,944.6787043919459,16.287563868826652,944.6787043919458,1.0122909661567112,43.0,2.9780612626518517,2.97905463008896,0.0009963756974281984,699.4375245410774,6659.918628745641,-2244.5666069097197,5.95810926017792,0.0
28,Aerocube 8C,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,181.0,573,585,0.000863,98.0,96.23,2.0,,,2016-11-11,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2016-067D,41851,,2016,11,11,,3.1590459461097367,6956,6944,13900,6950.0,12,13899.99482014292,6949.99741007146,0.0010896616293740286,5766.18019557966,5773.8,2899.1072649997736,16.0171672099435,2899.1072649997736,3.159045946109737,6.0,3.159030897667809,3.124169451466894,1.5048447528908799e-05,584.996938072939,6945.780832146871,-242.13340968363312,6.248338902933788,0.0
29,Aerocube 8D,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,101.0,572,584,0.0008640000000000001,98.0,96.23,2.0,,,2016-11-11,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2016-067E,41852,,2016,11,11,,1.7627825445142729,6955,6943,13898,6949.0,12,13897.994819397509,6948.997409698754,0.0010898968504483996,5764.935741024109,5773.8,1617.3847495650973,16.013710391733635,1617.384749565097,1.7627825445142729,6.0,1.7636305306026567,1.7644784462954182,0.0008479858967179223,579.1506022974982,-6434.134217487143,-2624.9786159812866,3.5289568925908363,0.0
32,AIM ,USA,USA,Center for Atmospheric Sciences Hampton University/NASA,Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,301.0,544,552,0.0005780000000000001,97.9,96.2,215.0,197.0,216.0,2007-04-25,2.0,Orbital Sciences Corp.,USA,Vandenberg AFB,Pegasus XL,2007-015A,31304,Study noctilucent clouds (NLC) in the polar mesosphere. In 2011 the mission was extended through FY 2012.,2007,4,25,(Aeronomy of Ice in Mesosphere),5.253441048502932,6923,6915,13838,6919.0,8,13837.997687526906,6918.998843763453,0.0010969930325112468,5727.643768890727,5772.0,4788.946595655858,15.91012158025202,4788.946595655858,5.253441048502931,4.0,5.252945458269874,1.0307355128299054,0.0004955902144187736,545.9419681218606,-3260.3787216086903,6102.66164427214,2.0614710256598108,0.0
33,AISat-1,Germany,Germany,German Aerospace Center (DLR),Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,358.0,643,660,0.00121,98.25,97.76,14.0,,,2014-06-30,,German Aerospace Center (DLR),Germany,Satish Dhawan Space Centre,PSLV-CA,2014-034B,40054,Satellite equipped with AIS tracking.,2014,6,30,,6.2482787221397,7031,7014,14045,7022.5,17,14044.989711637385,7022.4948558186925,0.0010728308248464052,5856.64129111795,5865.6,5824.104395056183,16.268448030883192,5824.1043950561825,6.248278722139698,8.5,6.248236442621636,0.034991169670417925,4.227954895048514e-05,643.0079638254165,7005.310572636525,491.0495673939862,0.06998233934083585,0.0
34,AISSat-1 ,Norway,Norway,Norwegian Coastal Admnistration,Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,258.0,615,632,0.00122,98.0,97.2,6.0,,,2010-07-12,3.0,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Canada,Satish Dhawan Space Centre,PSLV,2010-035C,36797,Equipped with instrument that receives and forwards Automatic Identification System (AIS) signals; will demonstrate maritime ship-tracking technologies.,2010,7,12,(Automatic Identification System Satellite-1),4.50294947014537,7003,6986,13989,6994.5,17,13988.989670451545,6994.4948352257725,0.0010792793142206279,5821.648969263176,5832.0,4172.181761305275,16.171247136842155,4172.181761305276,4.50294947014537,8.5,4.501756432689125,1.7826217592619085,0.0011930369288806594,625.2841275526416,-6376.145492638707,-2875.3759226818374,3.565243518523817,0.0
35,AISSat-2 ,Norway,Norway,Norwegian Coastal Admnistration,Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,249.0,625,631,0.000429,98.4,97.27,6.0,,,2014-07-08,3.0,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Norway/Canada,Baikonur Cosmodrome,Soyuz-2.1b,2014-037G,40075,Second in the series.,2014,7,8,(Automatic Identification System Satellite-2),4.34586983746588,7002,6996,13998,6999.0,6,13997.998714101956,6998.999357050978,0.0010782385992252192,5827.268019985967,5836.2,4030.52704715696,16.18685561107213,4030.52704715696,4.345869837465879,3.0,4.34546939302718,1.9381163277601976,0.00040044442203372244,629.0771476287609,-5193.76273574332,-4691.569630821147,3.876232655520395,0.0
38,AIST-2D,Russia,Russia,Samara State Aerospace University,Civil,Technology Development,,LEO,Sun-Synchronous,150.0,471,486,0.0011,97.28,94.18,531.0,,,2016-04-27,,Samara State Aerospace University/TsSKB Progress,Russia,Vostochny Cosmodrome,Soyuz 2.1a,2016-026B,41465,Aist 2D also carries an innovative radar operating in P-band a wavelength that penetrates through forest canopies and Earths surface to study underground structures.,2016,4,27,,2.6179938779914944,6857,6842,13699,6849.5,15,13698.99178771927,6849.495893859635,0.0011137316460840493,5641.561258739177,5650.8,2350.6505244746572,15.671003496497715,2350.6505244746572,2.617993877991494,7.5,2.6185433545447747,2.619092569485678,0.0005494767474111521,485.0270941202152,3437.776247835005,-5924.297649468676,5.238185138971356,0.0
39,Al-Farabi-1,NR (9/17),Kazakhstan,Al-Farabi Kazakh National University,Civil,Technology Development,,LEO,Sun-Synchronous,196.0,497,497,0.0,97.5,94.5,2.0,,,2017-02-15,,Al-Farabi Kazakh National University,Kazakhstan,Satish Dhawan Space Centre,PSLV XL,2017-008BW,42016,Built by students as an educational project.,2017,2,15,,3.420845333908886,6868,6868,13736,6868.0,0,13736.0,6868.0,0.0011092346700662932,5664.432853333076,5670.0,3083.9689979257855,15.73453570370299,3083.968997925786,3.4208453339088862,0.0,3.4208453339088862,2.8623399732707,0.0,497.0,5824.394324402329,-3639.4855067536573,5.7246799465414,0.0
42,Alsat 2B,NR (12/16),Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,22.0,646,660,0.000997,98.2,97.7,117.0,,,2016-09-26,5.0,Airbus Defense and Space,France/UK/Germany/Spain,Satish Dhawan Space Centre,PSLV,2016-059D,41786,Surveillance.,2016,9,26,,0.3839724354387525,7031,7017,14048,7024.0,14,14047.993023916264,7023.996511958132,0.0010724871829787036,5858.517851680798,5862.0,358.0205353804932,16.27366069911333,358.02053538049324,0.3839724354387525,7.0,0.3843462637801679,0.384720265021745,0.00037382848369127994,646.5079793573377,5045.339368484043,4886.829538526625,0.76944053004349,0.0
