,name,country_reg,country,owner,users,purpose,description,CLO,TOO,longitude,perigee_km,apogee_km,eccentricity,inclination,period_minutes,launch_mass,dry_mass,power_watts,launch_date,expected_lifetime_years,contractor,contractor_country,launch_site,launch_vehicle,COSPAR,NORAD,comments,launch_year,launch_month,launch_day,nickname,radians,apogeeR,perigeeR,majorA,semimajorA,fDistance,minorA,semiminorA,meanmotion,period_seconds,simple_seconds,T_long,sec_per_longdegree,time_till_longitude,meanAnom,Efromcenter,eccentricAnom,trueAnom,flightpath,distanceAt,cartX,cartY,trueAnomadj,dif
135,Beidou 2-12 ,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,MEO,Non-Polar Inclined,220.0,21460,21595,0.00242,55.16,773.19,2200.0,,,2012-04-28,8.0,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2012-018A,38250,Part of Beidou constellation.,2012,4,28,(Compass M3),3.839724354387525,27966,27831,55797,27898.5,135,55796.83668452899,27898.418342264496,0.0001354869869875487,46374.824969404726,46391.4,28340.170814636225,128.81895824834646,28340.17081463622,3.839724354387525,67.5,3.838171686750129,2.4465648484266143,0.001552669062334881,21579.28632733995,5014.986192448572,-27443.975781869223,4.8931296968532285,0.0
136,Beidou 2-13 ,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,MEO,Non-Polar Inclined,99.0,21452,21603,0.00271,55.1,773.21,2200.0,,,2012-04-28,8.0,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2012-018B,38251,Part of Beidou constellation.,2012,4,28,(Compass M4),1.7278759594743862,27974,27823,55797,27898.5,151,55796.795678605056,27898.397839302528,0.0001354869869875487,46374.824969404726,46392.600000000006,12753.0768665863,128.81895824834646,12753.0768665863,1.7278759594743862,75.5,2.763971222969565,2.7649691733015582,0.0009992088701231221,21597.778133947682,20351.16794036932,-19082.808984305913,5.5299383466031165,0.0
137,Beidou 2-14 ,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,MEO,Non-Polar Inclined,87.0,21462,21591,0.00231,55.0,773.1,3800.0,,,2012-09-18,8.0,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2012-050A,38774,,2012,9,18,(Compass M5),1.5184364492350666,27962,27833,55795,27897.5,129,55794.85087353492,27897.42543676746,0.00013549427195221203,46372.331587534754,46386.0,11206.6468003209,128.81203218759654,11206.6468003209,1.5184364492350666,64.5,2.694158548128365,2.695156939687282,0.0009994322709997376,21584.599447633536,17496.701865983974,-21728.631025842842,5.390313879374564,0.0
138,Beidou 2-15 ,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,MEO,Non-Polar Inclined,225.0,21477,21574,0.0017399999999999998,55.0,773.1,3800.0,,,2012-09-18,8.0,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2012-050B,38775,,2012,9,18,(Compass M6),3.9269908169872414,27945,27848,55793,27896.5,97,55792.915679322585,27896.457839661292,0.00013550155756973772,46369.83825035265,46386.0,28981.148906470407,128.80510625097958,28981.148906470404,3.926990816987241,48.5,3.925761963127737,2.35865144132558,0.0012288541725920263,21559.865051420922,137.08012290898037,-27896.121040329268,4.71730288265116,0.0
144,Beidou 3M-1S,NR,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,MEO,Non-Polar Inclined,72.0,21520,21549,0.0005200000000000001,55.0,773.2,800.0,,,2015-07-25,5.0,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2015-037A,40748,,2015,7,25,,1.2566370614359172,27920,27891,55811,27905.5,29,55810.99246564246,27905.49623282123,0.00013543601050817347,46392.27989368751,46392.0,9278.455978737502,128.86744414913198,9278.455978737504,1.2566370614359175,14.5,1.2571316903057288,1.2576263588217396,0.0004946288358460273,21530.022724404163,-22608.433309352575,16357.738269771655,2.515252717643479,0.0
145,Beidou 3M-2S,NR,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,MEO,Non-Polar Inclined,155.0,21521,21550,0.0005200000000000001,55.0,773.3,800.0,,,2015-07-25,5.0,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2015-037B,40749,,2015,7,25,,2.705260340591211,27921,27892,55813,27906.5,29,55812.99246591245,27906.496232956226,0.0001354287307634617,46394.77363303158,46398.0,19975.527536444155,128.87437120286552,19975.527536444155,2.705260340591211,14.5,2.7054799985668945,2.705699604797923,0.00021965799654764833,21548.653123490116,17956.726350861107,-21361.84911969135,5.411399209595846,0.0
146,Beidou 3M-3S,NR (12/16),China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,MEO,Non-Polar Inclined,184.0,21524,21532,0.000143,55.0,773.2,800.0,,,2016-02-01,5.0,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3C,2016-006A,41315,,2016,2,1,,3.2114058236695664,27903,27895,55798,27899.0,8,55797.99942650274,27898.99971325137,0.00013548334475001482,46376.07167709741,46392.0,23703.325523849788,128.8224213252706,23703.32552384979,3.211405823669567,4.0,3.211395849916594,3.0717994303046794,9.973753074149958e-06,21531.979841415134,27627.643726279857,-3881.688141004982,6.143598860609359,0.0
156,Beidou M1 ,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,MEO,Non-Polar Inclined,71.0,21519,21545,0.000466,55.26,773.39,2200.0,,,2007-04-14,8.0,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3A,2007-011A,31115,Part of Beidou constellation; first one in MEO orbit.,2007,4,14,(Compass M1),1.239183768915974,27916,27890,55806,27903.0,26,55805.993943303256,27902.996971651628,0.00013545421272353976,46386.04574081046,46403.4,9148.359021104287,128.85012705780684,9148.359021104287,1.239183768915974,13.0,1.239624447429638,1.2400651593057694,0.000440678490200961,21527.77212133544,-22018.11234195207,17140.013831047836,2.480130318611539,0.0
199,Chandra X-Ray Observatory ,USA,USA,National Aeronautics and Space Administration (NASA) Goddard Space Flight Center,Government,Space Science,,Elliptical,Deep Highly Eccentric,117.0,9999,138825,0.797,28.5,3808.92,4742.0,,2500.0,1999-07-23,5.0,TRW Space and Electronics,USA,Cape Canaveral,Space Shuttle (STS 93),1999-040B,25867,X-ray astronomy.,1999,7,23,(CXO),2.0420352248333655,145196,16370,161566,80783.0,128826,97506.07201605447,48753.03600802724,2.7497227010343816e-05,228502.50699155952,228535.2,74263.31477225684,634.7291860876653,74263.31477225684,2.0420352248333655,64413.0,3.140695847799403,3.1412912333508594,0.0011834077428685003,138796.02510922315,80782.98532105716,-29.390301744429127,6.282582466701719,0.0
512,EKS-1 ,Russia,Russia,Ministry of Defense,Military,Earth Observation,Early Warning,Elliptical,Molniya,291.0,1606,38662,0.6990000000000001,63.0,715.0,,,,2015-11-17,,RKK Energia,Russia,Plesetsk Cosmodrome,Soyuz 2.1,2015-066A,41032,Replaces the US-OKO early warning system.,2015,11,17,(Integrated Space System Cosmos 2510 Tundra 11L),5.078908123303499,45033,7977,53010,26505.0,37056,37906.634828219714,18953.317414109857,0.00014631105849488544,42944.02194759069,42900.0,34713.08440763581,119.28894985441859,34713.08440763581,5.078908123303499,18528.0,4.208231647339342,2.6544648862931592,0.707876332932205,29083.831547469243,14890.087395766448,-15679.77413286954,5.3089297725863185,0.0
513,EKS-2 ,NR (9/17),Russia,Ministry of Defense,Military,Earth Observation,Early Warning,Elliptical,Molniya,268.0,1650,38511,0.6970000000000001,63.8,713.8,,,,2017-05-25,,RKK Energia,Russia,Plesetsk Cosmodrome,Soyuz 2.1b,2017-027A,42719,Second in the EKS series.,2017,5,25,(Integrated Space System Cosmos 2518 Tundra 12L),4.6774823953448035,44882,8021,52903,26451.5,36861,37947.2540245009,18973.62701225045,0.00014675516931754876,42814.06465201939,42828.0,31872.692574281107,118.92795736672053,31872.692574281104,4.677482395344803,18430.5,3.9974487722496908,2.760796464746143,0.6331795989209353,32167.08626662148,19143.9575346915,-13093.22155981925,5.521592929492286,0.0
523,ERG ,NR (1/17),Japan,Japan Aerospace Exploration Agency (JAXA),Government,Space Science,,Elliptical,,296.0,460,33200,0.706,31.0,580.0,350.0,,750.0,2016-12-20,1.0,Japan Aerospace Exploration Agency (JAXA),Japan,Uchinoura Space Center,Epsilon,2016-080A,41896,Study of the Van Allen belts.,2016,12,20,(Exploration of Energization and Radiation in Geospace Arase),5.1661745859032155,39571,6831,46402,23201.0,32740,32882.183686610595,16441.091843305298,0.00017865238112926528,35169.894000088025,34800.0,28917.468400072376,97.69415000024452,28917.46840007238,5.1661745859032155,16370.0,4.247218127750936,2.6401175009995965,0.7277945842985131,24177.62463313422,12477.900610864273,-13860.849528500996,5.280235001999193,0.0
